idle_start_timestamp,idle_duration,idle_x_start,idle_y_start,driver_idx,idle_start_subblock_id
540,927,0.736455142498016,0.252611756324768,0,9
1080,398,0.40229272842407204,0.490039706230163,1,5
1140,143,0.9087787866592401,0.48396191000938404,2,13
300,420,0.24203021824359802,0.912341237068176,3,3
900,533,0.11218093335628501,0.29783415794372503,4,1
1140,370,0.604418873786926,0.2405566573143,5,8
1200,659,0.392629265785217,0.65865421295166,6,6
720,1111,0.894946753978729,0.894200325012207,7,15
300,201,0.244880512356758,0.913850963115692,8,3
1260,468,0.587657153606414,0.580216646194458,9,10
1200,132,0.714431881904602,0.728426218032836,10,10
780,1440,0.7538147568702691,0.5521864295005791,11,14
780,244,0.143393084406852,0.40382570028305004,12,1
1260,984,0.13402652740478502,0.016577199101448,13,0
540,520,0.285619288682937,0.251836121082305,14,5
780,204,0.936294734477996,0.7147058248519891,15,14
1320,759,0.083045974373817,0.7230292558670041,16,2
1020,457,0.516676127910614,0.284986972808837,17,9
900,124,0.029485657811164002,0.71894633769989,18,2
1260,207,0.205099284648895,0.8742759227752681,19,3
120,306,0.07851141691207801,0.014774799346923,20,0
480,234,0.37770658731460505,0.032689049839973006,21,4
60,380,0.621586799621582,0.44396543502807606,22,9
480,1095,0.6619155406951901,0.066257685422897,23,8
1080,1440,0.39081844687461803,0.22832566499710003,24,4
540,549,0.5793104171752931,0.03046928346157,25,8
120,195,0.7193078994750971,0.7400878071784971,26,10
960,172,0.529368460178375,0.013768196105957002,27,8
0,1440,0.056508585810661004,0.059505209326744,28,0
720,245,0.707685470581054,0.273823887109756,29,9
120,486,0.9635318517684931,0.6055967807769771,30,14
600,588,0.8450760841369621,0.786622822284698,31,15
900,250,0.24351876974105802,0.47602716088294905,32,1
1320,170,0.6505500674247741,0.35447981953620905,33,9
1140,419,0.8366150856018061,0.48191684484481806,34,13
1260,584,0.369249582290649,0.5474250912666321,35,6
660,916,0.8015142679214471,0.6972197890281671,36,14
420,248,0.094190686941146,0.555391371250152,37,2
480,552,0.9298216104507441,0.45348784327507,38,13
1200,328,0.647174477577209,0.025863364338874,39,8
360,1008,0.6080131530761711,0.11922729015350302,40,8
720,503,0.1298149228096,0.568025350570678,41,2
960,254,0.036040380597114,0.355128645896911,42,1
540,409,0.15490385890007002,0.08323685824871001,43,0
1020,677,0.048770859837532,0.7562125921249391,44,3
1320,248,0.991318345069885,0.5601733922958371,45,14
480,1297,0.9926146268844601,0.5627671480178831,46,14
900,250,0.419733017683029,0.9287277460098261,47,7
960,906,0.237056925892829,0.9994171261787411,48,3
1080,171,0.32676020264625505,0.615702092647552,49,6
420,614,0.39722800254821705,0.7187533378601071,50,6
540,655,0.225294366478919,0.552527904510498,51,2
780,219,0.6076275110244751,0.93776786327362,52,11
1080,728,0.530631065368652,0.34818670153617803,53,9
1020,462,0.532687187194824,0.30968168377876204,54,9
1020,1266,0.7532356381416321,0.8144677877426141,55,15
600,558,0.50421404838562,0.6572933197021481,56,10
1200,332,0.677831053733825,0.333623588085174,57,9
540,303,0.47723314166069003,0.384024590253829,58,5
1200,1037,0.315866380929946,0.544674038887023,59,6
1080,1440,0.8711527585983271,0.621293127536773,60,14
780,727,0.048892274498939,0.7140560150146481,61,2
420,548,0.821620643138885,0.542722105979919,62,14
540,696,0.145123273134231,0.7144289016723631,63,2
180,711,0.709197521209716,0.057559177279472004,64,8
900,299,0.6554352045059201,0.7493706941604611,65,10
960,366,0.51277220249176,0.112093403935432,66,8
600,548,0.036813601851463006,0.6982568502426141,67,2
900,165,0.7219138145446771,0.698368489742279,68,10
660,206,0.5353400707244871,0.55569177865982,69,10
600,873,0.717953741550445,0.9390845298767091,70,11
660,254,0.677076041698455,0.06497730314731501,71,8
600,317,0.8045303821563721,0.089182764291763,72,12
600,203,0.849128544330596,0.748764634132385,73,14
1260,1440,0.9363623857498161,0.39626720547676003,74,13
1320,818,0.065732836723327,0.7602326273918151,75,3
780,135,0.9022185802459711,0.9574290513992311,76,15
780,789,0.335463017225265,0.87030029296875,77,7
1260,329,0.015503898262977002,0.8026685714721681,78,3
960,810,0.342237651348114,0.739010214805603,79,6
600,1317,0.11532321572303701,0.40725433826446505,80,1
900,480,0.313898086547851,0.866173923015594,81,7
600,1410,0.592681288719177,0.166036203503608,82,8
1080,242,0.464268803596496,0.43554165959358204,83,5
960,150,0.7944847941398621,0.5696694850921631,84,14
900,648,0.28942903876304604,0.167178064584732,85,4
480,547,0.710975289344787,0.9313743114471431,86,11
420,311,0.014023005962371,0.872183561325073,87,3
420,149,0.23989449441432903,0.811186432838439,88,3
240,120,0.266580462455749,0.7393392324447631,89,6
1140,173,0.38899427652359003,0.37061250209808305,90,5
660,490,0.8985353112220761,0.9039067029953001,91,15
1260,634,0.027600646018981004,0.20322233438491802,92,0
960,418,0.40250459313392606,0.8129506707191461,93,7
1080,297,0.068362727761268,0.053923666477203,94,0
480,651,0.8462110757827751,0.7759518623352051,95,15
0,360,0.818100988864898,0.624377369880676,96,14
1080,1291,0.515756905078887,0.211376205086708,97,8
960,1386,0.072890162467956,0.7244408130645751,98,2
600,187,0.504088521003723,0.052835524082183005,99,8
