,current_day,square_index,rider_id,driver_idx,trip_start_timestamp,trip_duration,ride_miles,trip_end_timestamp,price_of_ride,distance_normalized_price,rider_acceptance_prob,driver_acceptance_prob
0,0,0,894,6,242,13,6.5598,255,27.0788,4.128,0.6625,0.5650000000000001
1,0,9,156,75,329,4,2.2053,333,12.1337,5.502,0.5986,0.46240000000000003
2,0,9,950,75,333,14,6.8753,347,28.433,4.1355,0.6622,0.5645
3,0,3,109,15,368,5,2.73,373,13.8687,5.08,0.6187,0.494
4,0,2,195,22,431,16,7.7997,447,31.6754,4.0611,0.6655,0.5700000000000001
5,0,1,126,27,461,16,7.9341,477,31.92,4.0232,0.6672,0.5727
6,0,2,19,22,453,7,3.6729,460,17.1447,4.6679,0.6379,0.5249
7,0,6,95,43,458,13,6.658,471,27.2576,4.0939,0.664,0.5675
8,0,2,112,22,497,7,3.5454,504,16.9127,4.7703,0.6332,0.5172
9,0,3,76,15,481,21,10.3817,502,40.2746,3.8794,0.6735,0.5833
10,0,3,149,15,530,4,2.0601,534,11.8694,5.7615,0.5861000000000001,0.4431
11,0,1,541,27,548,9,4.4125,557,20.0508,4.544,0.6436000000000001,0.5341
12,0,11,85,55,545,6,3.1864,551,15.4792,4.8579,0.6291,0.5107
13,0,3,959,15,697,13,6.3465,710,26.6907,4.2056000000000004,0.659,0.5593
14,0,11,926,55,701,13,6.3736,714,26.74,4.1954,0.6595000000000001,0.5601
15,0,3,896,15,724,13,6.3453,737,26.6884,4.206,0.659,0.5593
16,0,15,918,34,775,9,4.3924,784,20.0141,4.5566,0.6431,0.5332
17,0,1,771,27,785,15,7.7092,800,30.7307,3.9862,0.6688000000000001,0.5755
18,0,15,330,34,953,12,5.8475,965,25.0024,4.2758,0.6558,0.5541
19,0,1,335,27,995,6,3.0852,1001,15.295,4.9576,0.6245,0.5032
20,0,14,251,49,1001,15,7.701,1016,30.7158,3.9886,0.6687000000000001,0.5753
21,0,14,496,49,1059,9,4.4712,1068,20.1576,4.5083,0.6453,0.5368
22,0,7,269,39,1103,12,6.2323,1115,25.7029,4.1241,0.6627000000000001,0.5653
23,0,14,493,49,1087,11,5.3374,1098,23.2941,4.3643,0.6518,0.5475
24,0,7,400,39,1138,3,1.6984000000000001,1141,10.4311,6.1417,0.5675,0.4152
25,0,14,318,49,1151,11,5.5325,1162,23.6491,4.2746,0.6559,0.5542
26,0,14,299,49,1213,7,3.4137,1220,16.673,4.8841,0.6279,0.5087
27,0,7,672,39,1287,9,4.4401,1296,20.1009,4.5272,0.6444000000000001,0.5354
28,0,14,541,49,1286,13,6.5968,1299,27.1462,4.1151,0.6631,0.5660000000000001
29,0,7,534,39,1298,11,5.2506,1309,23.136,4.4064,0.6499,0.5444
30,0,13,608,45,1298,16,8.0317,1314,32.0977,3.9964,0.6683,0.5747
31,0,14,575,49,1295,9,4.5359,1304,20.2753,4.47,0.647,0.5397000000000001
32,0,7,690,39,1346,17,8.4532,1363,33.6448,3.9801,0.6691,0.5759000000000001
33,0,13,655,45,1344,17,8.3711,1361,33.4955,4.0013,0.6681,0.5743
34,0,14,635,49,1347,8,4.0233,1355,18.5625,4.6137,0.6404000000000001,0.5289
35,0,4,985,47,259,13,6.2915,272,26.5905,4.2264,0.6581,0.5578000000000001
36,0,4,985,47,259,13,6.2915,272,26.5905,4.2264,0.6581,0.5578000000000001
