,price_of_ride,distance_normalized_price,trip_duration,rider_acceptance_prob,driver_acceptance_prob
0,33.8931,3.9458,17,0.6706000000000001,0.5784
1,5.1834,5.1834,0,0.6138,0.4862
2,33.9654,3.936,17,0.671,0.5791000000000001
3,13.7202,5.1804,5,0.6139,0.48650000000000004
4,25.2211,4.2263,12,0.6581,0.5578000000000001
5,21.6364,4.4564,10,0.6476000000000001,0.5407000000000001
6,38.8734,3.8717,20,0.6739,0.5838
7,28.674,4.0918,14,0.6641,0.5677
8,23.6761,4.268,11,0.6562,0.5547000000000001
9,21.8317,4.3994,10,0.6502,0.5449
10,9.619,7.6817,3,0.4909,0.30910000000000004
11,23.486,4.315,11,0.6541,0.5512
12,22.2331,4.2896,10,0.6552,0.5531
13,14.8573,5.2229,6,0.6119,0.4833
14,17.1262,4.6758,7,0.6376000000000001,0.5243
15,15.1002,5.0704,6,0.6191,0.49470000000000003
16,5.3896,5.3896,0,0.604,0.4708
17,19.9167,4.5903,9,0.6415000000000001,0.5307000000000001
18,18.2353,4.7444,8,0.6344000000000001,0.5192
19,26.531,4.239,13,0.6575000000000001,0.5568000000000001
20,22.2114,4.2953,10,0.655,0.5527000000000001
21,18.283,4.7246,8,0.6353,0.5206000000000001
22,17.2433,4.6265,7,0.6398,0.528
23,18.5844,4.6054,8,0.6408,0.5296000000000001
24,18.7577,4.5411,8,0.6438,0.5344
25,35.428,3.9345,18,0.6711,0.5792
26,25.5656,4.1523,12,0.6614,0.5632
27,14.7552,5.2913,6,0.6087,0.4782
28,16.5255,4.9586,7,0.6244000000000001,0.5031
29,17.2805,4.6112,7,0.6406000000000001,0.5291
30,8.6433,7.5508,2,0.4975,0.3175
31,27.273,4.0911,13,0.6641,0.5678000000000001
32,32.0775,3.9994,16,0.6682,0.5745
33,35.5549,3.9183,18,0.6718000000000001,0.5804
34,23.355,4.3484,11,0.6526000000000001,0.5487000000000001
35,18.3522,4.6963,8,0.6366,0.5228
36,21.6285,4.4587,10,0.6475000000000001,0.5405
37,20.2059,4.4924,9,0.646,0.538
38,13.6824,5.207,5,0.6127,0.48450000000000004
39,21.9384,4.3692,10,0.6516000000000001,0.5472
40,14.8232,5.2454,6,0.6109,0.48160000000000003
41,20.2198,4.4879,9,0.6462,0.5383
42,21.9556,4.3644,10,0.6518,0.5475
43,22.2693,4.2802,10,0.6556000000000001,0.5538000000000001
44,10.4702,6.0877,3,0.5701,0.41910000000000003
45,18.8399,4.5117,8,0.6451,0.5366000000000001
46,28.7863,4.072,14,0.665,0.5692
47,14.7242,5.3127,6,0.6077,0.4766
48,35.1634,3.9692,18,0.6696000000000001,0.5767
49,35.8364,3.8831,18,0.6734,0.583
50,25.2487,4.2202,12,0.6584,0.5582
51,28.2774,4.1647,14,0.6608,0.5623
52,35.5892,3.9139,18,0.672,0.5807
53,21.463,4.5091,10,0.6452,0.5367000000000001
54,32.4677,3.9427,16,0.6707000000000001,0.5786
55,18.6617,4.5764000000000005,8,0.6422,0.5317000000000001
56,5.1994,5.1994,0,0.613,0.485
57,16.7392,4.8518,7,0.6294000000000001,0.5111
58,19.9485,4.5792,9,0.642,0.5315
59,14.6919,5.3351,6,0.6066,0.47490000000000004
60,16.9784,4.7405,7,0.6346,0.5195000000000001
61,16.8894,4.781,7,0.6327,0.5164
62,18.4658,4.6511000000000005,8,0.6387,0.5261
63,10.3579,6.2465,3,0.5623,0.4076
64,31.9584,4.0173,16,0.6674,0.5732
65,27.0532,4.133,13,0.6623,0.5647
66,12.09,5.5425,4,0.5966,0.45940000000000003
67,32.1911,3.9826,16,0.669,0.5757
68,38.6793,3.8938,20,0.6729,0.5822
69,8.7973,7.1565,2,0.5172,0.3437
70,30.7709,3.9801,15,0.6691,0.5759000000000001
71,11.3658,6.3731,4,0.5561,0.39840000000000003
72,37.0501,3.9136,19,0.672,0.5808
73,26.7155,4.2004,13,0.6592,0.5597
74,18.4217,4.6684,8,0.6379,0.5248
75,12.1606,5.4775,4,0.5998,0.4642
76,18.7006,4.562,8,0.6428,0.5328
77,10.2087,6.4767,3,0.551,0.391
78,18.9126,4.4862,8,0.6463,0.5385
79,16.7222,4.86,7,0.629,0.5105000000000001
80,25.4874,4.1687,12,0.6607000000000001,0.562
81,18.15,4.7805,8,0.6327,0.5165000000000001
82,19.9397,4.5823,9,0.6419,0.5313
83,25.1511,4.2419,12,0.6574,0.5566
84,24.9453,4.289,12,0.6552,0.5531
85,26.956,4.152,13,0.6614,0.5633
86,27.4056,4.0665,13,0.6652,0.5696
87,24.9554,4.2867,12,0.6554,0.5533
88,20.0155,4.5561,9,0.6431,0.5332
89,17.2095,4.6405,7,0.6392,0.5269
90,20.639,4.3581,9,0.6521,0.548
91,6.5734,6.5734,1,0.5462,0.3841
92,20.1247,4.5192,9,0.6448,0.536
93,6.5342,6.5342,1,0.5481,0.3869
94,14.9249,5.179,6,0.614,0.48660000000000003
95,6.9433,6.9433,1,0.5278,0.3582
96,10.4409,6.1281,3,0.5682,0.4162
97,23.5685,4.2944,11,0.655,0.5527000000000001
98,20.1854,4.4992,9,0.6457,0.5375
99,23.7933,4.2399000000000004,11,0.6575000000000001,0.5568000000000001
100,13.5948,5.2702,5,0.6097,0.4797
101,11.8246,5.8092,4,0.5837,0.43960000000000005
102,23.3479,4.3503,11,0.6525000000000001,0.5486
103,15.4786,4.8583,6,0.6291,0.5106
104,19.9664,4.573,9,0.6423,0.532
105,19.9465,4.5799,9,0.642,0.5315
106,31.9687,4.0158,16,0.6675,0.5733
107,26.7727,4.1887,13,0.6598,0.5605
108,13.4409,5.3872,5,0.6041000000000001,0.47100000000000003
109,15.279,4.9666,6,0.624,0.5025000000000001
110,19.8613,4.6099,9,0.6406000000000001,0.5292
111,21.8313,4.3995,10,0.6502,0.5449
112,10.4343,6.1372,3,0.5677,0.41550000000000004
113,31.8463,4.0345,16,0.6667000000000001,0.5719000000000001
114,42.4688,3.8059,22,0.6767000000000001,0.5886
115,11.8977,5.732,4,0.5875,0.44530000000000003
116,21.5711,4.476,10,0.6468,0.5392
117,30.4772,4.0261,15,0.667,0.5725
118,28.2395,4.1719,14,0.6605000000000001,0.5618000000000001
119,16.9491,4.7537,7,0.634,0.5185000000000001
120,16.4893,4.9774,7,0.6235,0.5017
121,18.4521,4.6565,8,0.6385000000000001,0.5257000000000001
122,23.7466,4.2511,11,0.657,0.5559000000000001
123,21.8316,4.3994,10,0.6502,0.5449
124,24.8954,4.3007,12,0.6547000000000001,0.5523
125,10.2034,6.4853,3,0.5506,0.3904
126,10.0358,6.7754,3,0.5362,0.3699
127,20.1448,4.5125,9,0.6451,0.5365
128,23.7976,4.2389,11,0.6575000000000001,0.5568000000000001
129,14.9453,5.166,6,0.6146,0.48760000000000003
130,26.8199,4.1792,13,0.6602,0.5613
131,18.865,4.5029,8,0.6455000000000001,0.5372
132,22.1789,4.3039,10,0.6546000000000001,0.552
133,11.8363,5.7967,4,0.5844,0.4405
134,20.4629,4.4111,9,0.6497,0.5441
135,26.822400000000002,4.1787,13,0.6602,0.5613
136,11.3176,6.4417,4,0.5527000000000001,0.3935
137,16.9999,4.7309,7,0.635,0.5202
138,18.6256,4.5898,8,0.6415000000000001,0.5307000000000001
139,29.9259,4.1181,15,0.6629,0.5658000000000001
140,20.474,4.4077,9,0.6499,0.5443
141,13.2967,5.5041,5,0.5985,0.46230000000000004
142,35.4405,3.9329,18,0.6712,0.5794
143,18.574,4.6093,8,0.6406000000000001,0.5293
144,15.5468,4.8229,6,0.6307,0.5133
145,25.7163,4.1214,12,0.6628000000000001,0.5655
146,8.7069,7.381,2,0.5059,0.3286
147,25.4649,4.1735,12,0.6605000000000001,0.5617
148,26.928,4.1575,13,0.6612,0.5629000000000001
149,28.4233,4.1373,14,0.6621,0.5643
150,10.5129,6.0303,3,0.5730000000000001,0.4233
151,25.3335,4.2017,12,0.6592,0.5596
152,23.355,4.3485,11,0.6526000000000001,0.5487000000000001
153,8.719,7.3499,2,0.5075000000000001,0.3307
154,22.2533,4.2843,10,0.6555000000000001,0.5535
155,23.5516,4.2986,11,0.6548,0.5524
156,30.2232,4.0675,15,0.6652,0.5695
157,23.8583,4.2246,11,0.6582,0.5579000000000001
158,27.371,4.0729,13,0.6649,0.5691
159,22.0069,4.3503,10,0.6525000000000001,0.5486
160,7.9484,7.9484,2,0.4776,0.2922
161,18.77,4.5367,8,0.644,0.5347000000000001
162,13.2373,5.5546,5,0.5961000000000001,0.4585
163,21.743,4.4249,10,0.6491,0.543
164,21.5541,4.4811,10,0.6465000000000001,0.5388000000000001
165,28.9747,4.0395,14,0.6664,0.5715
166,18.2599,4.7341,8,0.6349,0.5199
167,15.1856,5.02,6,0.6215,0.4985
168,8.1395,8.1395,2,0.4681,0.2805
169,26.6194,4.2204,13,0.6583,0.5582
170,25.4428,4.1782,12,0.6602,0.5613
171,18.5562,4.6161,8,0.6403,0.5288
172,11.3775,6.3567,4,0.5569000000000001,0.3996
173,6.497,6.497,1,0.55,0.3896
174,25.2019,4.2306,12,0.6579,0.5575
175,18.2851,4.7237,8,0.6354000000000001,0.5207
176,25.4937,4.1674,12,0.6607000000000001,0.5621
177,19.8662,4.6082,9,0.6407,0.5294
178,35.3514,3.9444,18,0.6706000000000001,0.5785
179,19.9271,4.5867,9,0.6417,0.531
180,21.6745,4.4451,10,0.6482,0.5415
181,23.5462,4.3,11,0.6548,0.5523
182,26.899,4.1633000000000004,13,0.6609,0.5624
