,idle_start_timestamp,idle_duration,idle_x_start,idle_y_start,driver_idx,idle_start_subblock_id
0,720,128,0.367012113332748,0.09393087029457,0,4
1,600,944,0.621170580387115,0.067188173532485,1,8
2,1020,221,0.32428589463233903,0.39200574159622104,2,5
3,960,372,0.24104069173336,0.762727499008178,3,3
4,180,274,0.47685140371322604,0.23857800662517503,4,4
5,1080,129,0.043238118290901004,0.599101603031158,5,2
6,720,162,0.7127834558486931,0.7135743498802181,6,10
7,1140,316,0.6486604809761041,0.582614064216613,7,10
8,900,913,0.736380338668823,0.226117715239524,8,8
9,1080,270,0.49199742078781106,0.8007433414459221,9,7
10,540,309,0.06398706138134,0.252187609672546,10,1
11,780,179,0.43743216991424505,0.587573766708374,11,6
12,720,346,0.015721619129180003,0.709131121635437,12,2
13,1020,252,0.25492334365844704,0.757389903068542,13,7
14,540,712,0.7991558909416191,0.392433583736419,14,13
15,1020,915,0.5121603012084961,0.47894001007080006,15,9
16,900,499,0.046964153647422006,0.739891827106475,16,2
17,60,578,0.480882883071899,0.9414587020874021,17,7
18,480,406,0.8552174568176271,0.48060533404350203,18,13
19,840,205,0.9294775724411011,0.34053099155426003,19,13
20,1200,291,0.7084776163101191,0.287493377923965,20,9
21,540,442,0.08279462158679901,0.052275165915489,21,0
22,1380,1204,0.9746661186218261,0.9882420301437371,22,15
23,1140,557,0.089881107211112,0.8426743745803831,23,3
24,840,209,0.11494514346122701,0.44956129789352406,24,1
25,960,179,0.940373182296752,0.032632336020469,25,12
26,1260,451,0.446487158536911,0.7202240824699401,26,6
27,780,624,0.21716482937335901,0.31894257664680403,27,1
28,1260,426,0.8473347425460811,0.00045940279960600004,28,12
29,840,130,0.37968343496322604,0.9368327260017391,29,7
30,1320,267,0.874253034591674,0.6779934167861931,30,14
31,780,140,0.695059537887573,0.32401537895202603,31,9
32,1320,538,0.016405269503593,0.9020698070526121,32,3
33,1380,876,0.360822916030883,0.8236479759216301,33,7
34,960,1440,0.5800063014030451,0.223695620894432,34,8
35,1020,238,0.37213134765625,0.21613545715808802,35,4
36,960,657,0.780353069305419,0.263504207134246,36,13
37,540,1385,0.08760318160057001,0.9569291472434991,37,3
38,600,236,0.222710832953453,0.927677989006042,38,3
39,1320,1440,0.9251269102096551,0.41936743259429904,39,13
40,840,425,0.5634965300559991,0.050035953521728,40,8
41,900,1076,0.765402197837829,0.789774477481842,41,15
42,900,217,0.539999067783355,0.45341128110885603,42,9
43,1260,345,0.9368909597396851,0.876048266887664,43,15
44,840,322,0.48632442951202304,0.17374187707901,44,4
45,660,1384,0.538876771926879,0.5418380498886101,45,10
46,900,492,0.07350030541419901,0.039737746119499005,46,0
47,600,363,0.726988613605499,0.10834237933158801,47,8
48,480,877,0.080439656972885,0.313178122043609,48,1
49,780,196,0.113241583108901,0.48182517290115306,49,1
50,720,992,0.019109174609184,0.32159596681594804,50,1
51,1080,647,0.5324132442474361,0.079979628324508,51,8
52,300,160,0.9330639243125911,0.9375398755073541,52,15
53,600,213,0.28167074918746904,0.9226030111312861,53,7
54,840,502,0.043990075588226006,0.6925330758094781,54,2
55,1320,934,0.149875119328498,0.9159139394760131,55,3
56,1260,470,0.46792775392532304,0.313474893569946,56,5
57,1140,571,0.18152153491973802,0.49903464317321705,57,1
58,1080,1440,0.620313048362731,0.7334541082382201,58,10
59,780,1440,0.35004937648773105,0.32310950756073,59,5
60,720,330,0.5806405544281,0.843011200428009,60,11
61,780,497,0.800319612026214,0.503487110137939,61,14
62,0,442,0.17252792418003002,0.17819166183471602,62,0
63,780,122,0.37149107456207203,0.7584673166275021,63,7
64,1260,376,0.23241402208805,0.091211780905723,64,0
65,840,791,0.7950195074081421,0.8901032209396361,65,15
66,1320,1440,0.434872388839721,0.416464626789093,66,5
67,1200,387,0.6780546307563781,0.802617311477661,67,11
68,1260,202,0.00473703444004,0.7892106771469111,68,3
69,840,620,0.32248443365097,0.45925229787826505,69,5
70,900,185,0.9420199990272521,0.44625741243362405,70,13
71,960,187,0.053134590387344006,0.458599776029586,71,1
72,1320,252,0.275952339172363,0.19730401039123502,72,4
73,1200,212,0.48465430736541704,0.6410475969314571,73,6
74,1320,599,0.530920147895813,0.49408495426177906,74,9
75,1080,122,0.480164527893066,0.440745770931243,75,5
76,780,522,0.7290600538253781,0.273931324481964,76,9
77,480,269,0.08434230089187601,0.510042309761047,77,2
78,720,283,0.619960486888885,0.39448595046997004,78,9
79,840,388,0.408102929592132,0.496202886104583,79,5
80,300,299,0.7529670596122741,0.007800281047821001,80,12
81,480,268,0.417869865894317,0.229170247912406,81,4
82,1140,495,0.011113762855529001,0.24683853983879,82,0
83,720,837,0.273921191692352,0.8044099211692811,83,7
84,480,321,0.07218712568283,0.030023515224456003,84,0
85,660,332,0.977981686592102,0.8176140785217281,85,15
86,660,712,0.353715002536773,0.5383366346359251,86,6
87,1260,620,0.40137425065040505,0.031359866261482,87,4
88,540,319,0.260786056518554,0.867536723613739,88,7
89,1320,644,0.9184552431106561,0.060667455196380005,89,12
90,1320,497,0.6694654822349541,0.424614071846008,90,9
91,240,141,0.573865056037902,0.392953932285308,91,9
