,current_day,square_index,rider_id,driver_idx,trip_start_timestamp,trip_duration,ride_miles,trip_end_timestamp,price_of_ride,distance_normalized_price,rider_acceptance_prob,driver_acceptance_prob
0,0,6,770,64,327,14,7.1025,341,28.8465,4.0615,0.6655,0.5699000000000001
1,0,0,758,73,335,11,5.6741,346,23.9069,4.2133,0.6587000000000001,0.5587
2,0,12,233,54,343,12,5.8103,355,24.9347,4.2915,0.6551,0.5529000000000001
3,0,0,60,73,385,10,5.017,395,21.931,4.3713,0.6515000000000001,0.547
4,0,7,118,40,386,10,4.7874,396,21.513,4.4937,0.6459,0.5379
5,0,8,139,43,370,5,2.5515,375,13.5438,5.3081,0.6079,0.47690000000000005
6,0,6,22,64,419,6,2.8451,425,14.858,5.2224,0.612,0.4833
7,0,0,75,73,448,8,3.9805,456,18.4846,4.6437,0.6391,0.5267000000000001
8,0,4,19,13,441,8,4.1885,449,18.8631,4.5035,0.6455000000000001,0.5372
9,0,6,7,64,420,13,6.3348,433,26.6693,4.21,0.6588,0.559
10,0,7,150,40,436,16,8.2443,452,32.4847,3.9402,0.6708000000000001,0.5788
11,0,0,164,73,468,9,4.3695,477,19.9725,4.5709,0.6424000000000001,0.5321
12,0,4,10,13,465,16,8.2329,481,32.4639,3.9432,0.6707000000000001,0.5786
13,0,6,212,64,470,7,3.4849,477,16.8026,4.8215,0.6308,0.5134000000000001
14,0,7,54,40,462,17,8.4613,479,33.6596,3.9781,0.6692,0.5761000000000001
15,0,4,93,13,480,3,1.4829,483,10.0388,6.7699,0.5364,0.3703
16,0,7,126,40,503,11,5.3442,514,23.3065,4.3611,0.652,0.5478000000000001
17,0,8,185,43,508,14,6.9659,522,28.5979,4.1054,0.6635,0.5667
18,0,9,53,81,501,14,6.9956000000000005,515,28.6521,4.0957,0.6639,0.5674
19,0,10,70,48,501,12,5.8226,513,24.9571,4.2863,0.6554,0.5533
20,0,15,49,46,503,9,4.6389000000000005,512,20.4628,4.4111,0.6497,0.5441
21,0,4,142,13,522,9,4.4351,531,20.0919,4.5302,0.6443,0.5352
22,0,6,74,64,515,8,4.2005,523,18.884900000000002,4.4959,0.6458,0.5377000000000001
23,0,7,63,40,525,9,4.3305,534,19.9016,4.5956,0.6413,0.5303
24,0,8,242,43,526,16,7.8142000000000005,542,31.7018,4.057,0.6657000000000001,0.5703
25,0,9,245,81,530,8,3.9079,538,18.3523,4.6963,0.6366,0.5228
26,0,15,71,46,517,13,6.5567,530,27.0732,4.1291,0.6624,0.5649000000000001
27,0,7,8,40,544,11,5.3054,555,23.2357,4.3797,0.6511,0.5464
28,0,15,108,46,546,24,12.1129,570,45.7655,3.7782,0.6779000000000001,0.5906
29,0,0,96,73,577,21,10.7349,598,40.9176,3.8116,0.6765,0.5882000000000001
