square_index,rider_id,driver_idx,trip_start_timestamp,trip_duration,ride_miles,trip_end_timestamp,price_of_ride,rider_acceptance_prob,driver_acceptance_prob
6,914,80,210,14,7.24,224,29.1,0.49,0.53
7,853,28,239,10,4.79,249,21.52,0.51,0.54
2,800,87,298,18,8.92,316,35.28,0.47000000000000003,0.52
5,945,15,329,1,0.6900000000000001,330,7.03,0.54,0.55
6,869,80,344,9,4.72,353,20.61,0.51,0.54
5,232,15,382,2,0.76,384,7.94,0.54,0.55
6,95,80,370,13,6.38,383,26.75,0.5,0.53
6,26,80,398,13,6.72,411,27.37,0.49,0.53
8,102,44,426,17,8.73,443,34.14,0.48,0.52
15,8,68,475,6,2.9,481,14.96,0.53,0.54
10,202,1,493,7,3.43,500,16.71,0.52,0.54
15,115,68,501,3,1.44,504,9.96,0.54,0.55
8,182,44,515,18,9.04,533,35.49,0.47000000000000003,0.52
15,190,68,526,10,5.1,536,22.08,0.51,0.53
15,214,68,544,8,4.23,552,18.93,0.52,0.54
3,968,63,593,21,10.3,614,40.13,0.46,0.51
10,202,1,578,5,2.37,583,13.21,0.53,0.55
15,1,68,580,10,5.2,590,22.27,0.51,0.53
10,212,1,609,13,6.62,622,27.19,0.49,0.53
8,804,44,677,15,7.61,692,30.55,0.49,0.52
3,949,63,696,3,1.33,699,9.75,0.54,0.55
6,793,80,896,8,4.18,904,18.85,0.52,0.54
12,953,93,874,16,7.96,890,31.96,0.48,0.52
6,836,80,968,5,2.54,973,13.53,0.53,0.55
12,341,93,979,15,7.37,994,30.11,0.49,0.52
3,272,63,1028,15,7.67,1043,30.65,0.49,0.52
6,361,80,1036,7,3.71,1043,17.22,0.52,0.54
12,331,93,1044,4,1.75,1048,11.31,0.53,0.55
2,419,7,1074,10,4.92,1084,21.75,0.51,0.54
3,266,63,1059,7,3.3,1066,16.47,0.52,0.54
6,279,80,1069,4,1.78,1073,11.36,0.53,0.55
3,498,63,1109,9,4.35,1118,19.93,0.51,0.54
6,304,80,1093,6,2.84,1099,14.85,0.53,0.54
12,263,93,1096,14,7.13,1110,28.9,0.49,0.53
1,406,97,1118,11,5.28,1129,23.18,0.5,0.53
3,289,63,1126,13,6.39,1139,26.77,0.5,0.53
5,317,90,1118,12,6.0,1130,25.28,0.5,0.53
6,443,80,1139,4,2.12,1143,11.98,0.53,0.55
3,464,63,1142,4,1.82,1146,11.43,0.53,0.55
5,395,90,1140,8,4.04,1148,18.59,0.52,0.54
12,549,93,1204,16,8.09,1220,32.2,0.48,0.52
3,517,63,1256,7,3.3,1263,16.47,0.52,0.54
12,559,93,1270,5,2.26,1275,13.01,0.53,0.55
3,661,63,1305,20,10.05,1325,38.89,0.47000000000000003,0.51
12,716,93,1345,10,4.86,1355,21.64,0.51,0.54
7,537,62,1378,8,4.08,1386,18.67,0.52,0.54
12,650,93,1354,14,7.06,1368,28.78,0.49,0.53
4,788,36,227,10,5.03,237,21.95,0.51,0.54
4,788,36,227,10,5.03,237,21.95,0.51,0.54
8,136,68,377,13,6.66,390,27.26,0.49,0.53
8,136,68,377,13,6.66,390,27.26,0.49,0.53
4,130,36,413,7,3.61,420,17.04,0.52,0.54
4,130,36,413,7,3.61,420,17.04,0.52,0.54
6,185,16,396,11,5.74,407,24.02,0.5,0.53
6,185,16,396,11,5.74,407,24.02,0.5,0.53
9,136,37,417,7,3.42,424,16.69,0.52,0.54
9,136,37,417,7,3.42,424,16.69,0.52,0.54
4,98,36,433,11,5.45,444,23.49,0.5,0.53
4,98,36,433,11,5.45,444,23.49,0.5,0.53
8,39,68,432,2,0.92,434,8.23,0.54,0.55
8,39,68,432,2,0.92,434,8.23,0.54,0.55
10,102,97,422,8,4.23,430,18.94,0.52,0.54
10,102,97,422,8,4.23,430,18.94,0.52,0.54
13,78,89,438,17,8.4,455,33.55,0.48,0.52
13,78,89,438,17,8.4,455,33.55,0.48,0.52
5,136,94,474,9,4.47,483,20.16,0.51,0.54
5,136,94,474,9,4.47,483,20.16,0.51,0.54
8,152,68,472,12,6.17,484,25.59,0.5,0.53
8,152,68,472,12,6.17,484,25.59,0.5,0.53
7,118,82,488,3,1.36,491,9.82,0.54,0.55
7,118,82,488,3,1.36,491,9.82,0.54,0.55
8,32,68,494,12,5.96,506,25.22,0.5,0.53
8,32,68,494,12,5.96,506,25.22,0.5,0.53
10,125,97,505,9,4.5,514,20.21,0.51,0.54
10,125,97,505,9,4.5,514,20.21,0.51,0.54
12,38,7,501,8,3.88,509,18.31,0.52,0.54
12,38,7,501,8,3.88,509,18.31,0.52,0.54
13,125,89,481,18,9.08,499,35.56,0.47000000000000003,0.52
13,125,89,481,18,9.08,499,35.56,0.47000000000000003,0.52
5,229,94,537,4,2.14,541,12.01,0.53,0.55
5,229,94,537,4,2.14,541,12.01,0.53,0.55
7,99,82,512,1,0.49,513,6.67,0.55,0.55
7,99,82,512,1,0.49,513,6.67,0.55,0.55
8,180,68,513,13,6.56,526,27.07,0.49,0.53
8,180,68,513,13,6.56,526,27.07,0.49,0.53
12,191,7,513,20,9.82,533,38.47,0.47000000000000003,0.51
12,191,7,513,20,9.82,533,38.47,0.47000000000000003,0.51
13,85,89,529,6,3.06,535,15.25,0.52,0.54
13,85,89,529,6,3.06,535,15.25,0.52,0.54
8,177,68,555,12,6.13,567,25.51,0.5,0.53
8,177,68,555,12,6.13,567,25.51,0.5,0.53
8,52,68,597,13,6.57,610,27.09,0.49,0.53
8,52,68,597,13,6.57,610,27.09,0.49,0.53
12,869,7,581,6,2.89,587,14.94,0.53,0.54
12,869,7,581,6,2.89,587,14.94,0.53,0.54
14,804,17,604,13,6.63,617,27.21,0.49,0.53
14,804,17,604,13,6.63,617,27.21,0.49,0.53
10,913,97,926,15,7.43,941,30.23,0.49,0.52
10,913,97,926,15,7.43,941,30.23,0.49,0.52
10,443,97,1008,13,6.47,1021,26.92,0.5,0.53
10,443,97,1008,13,6.47,1021,26.92,0.5,0.53
1,318,65,1020,11,5.65,1031,23.86,0.5,0.53
1,318,65,1020,11,5.65,1031,23.86,0.5,0.53
10,313,97,1062,9,4.27,1071,19.79,0.51,0.54
10,313,97,1062,9,4.27,1071,19.79,0.51,0.54
11,318,61,1059,7,3.27,1066,16.41,0.52,0.54
11,318,61,1059,7,3.27,1066,16.41,0.52,0.54
1,452,65,1095,5,2.37,1100,13.21,0.53,0.55
1,452,65,1095,5,2.37,1100,13.21,0.53,0.55
11,289,61,1082,5,2.66,1087,13.74,0.53,0.55
11,289,61,1082,5,2.66,1087,13.74,0.53,0.55
1,360,65,1114,2,1.01,1116,8.39,0.54,0.55
1,360,65,1114,2,1.01,1116,8.39,0.54,0.55
10,350,97,1125,4,2.18,1129,12.08,0.53,0.55
10,350,97,1125,4,2.18,1129,12.08,0.53,0.55
11,450,61,1127,10,5.15,1137,22.17,0.51,0.53
11,450,61,1127,10,5.15,1137,22.17,0.51,0.53
12,407,25,1117,20,10.24,1137,39.23,0.46,0.51
12,407,25,1117,20,10.24,1137,39.23,0.46,0.51
15,940,29,1114,13,6.45,1127,26.88,0.5,0.53
15,940,29,1114,13,6.45,1127,26.88,0.5,0.53
10,970,97,1145,9,4.52,1154,20.25,0.51,0.54
10,970,97,1145,9,4.52,1154,20.25,0.51,0.54
15,940,29,1173,14,7.07,1187,28.79,0.49,0.53
15,940,29,1173,14,7.07,1187,28.79,0.49,0.53
10,929,97,1236,8,3.96,1244,18.45,0.52,0.54
10,929,97,1236,8,3.96,1244,18.45,0.52,0.54
10,553,97,1277,3,1.72,1280,10.47,0.54,0.55
10,553,97,1277,3,1.72,1280,10.47,0.54,0.55
1,572,42,1300,5,2.26,1305,13.02,0.53,0.55
1,572,42,1300,5,2.26,1305,13.02,0.53,0.55
10,532,97,1310,7,3.75,1317,17.28,0.52,0.54
10,532,97,1310,7,3.75,1317,17.28,0.52,0.54
1,616,42,1346,4,2.22,1350,12.16,0.53,0.55
1,616,42,1346,4,2.22,1350,12.16,0.53,0.55
10,546,97,1341,12,6.22,1353,25.68,0.5,0.53
10,546,97,1341,12,6.22,1353,25.68,0.5,0.53
10,746,97,1371,4,1.85,1375,11.49,0.53,0.55
10,746,97,1371,4,1.85,1375,11.49,0.53,0.55
12,631,25,1401,16,8.22,1417,32.45,0.48,0.52
12,631,25,1401,16,8.22,1417,32.45,0.48,0.52
1,670,42,1413,17,8.36,1430,33.47,0.48,0.52
1,670,42,1413,17,8.36,1430,33.47,0.48,0.52
7,946,72,144,7,3.32,151,16.5,0.52,0.54
7,946,72,144,7,3.32,151,16.5,0.52,0.54
7,946,72,144,7,3.32,151,16.5,0.52,0.54
7,846,72,156,7,3.37,163,16.6,0.52,0.54
7,846,72,156,7,3.37,163,16.6,0.52,0.54
7,846,72,156,7,3.37,163,16.6,0.52,0.54
5,925,63,263,10,5.1,273,22.07,0.51,0.53
5,925,63,263,10,5.1,273,22.07,0.51,0.53
5,925,63,263,10,5.1,273,22.07,0.51,0.53
7,925,72,276,19,9.53,295,37.17,0.47000000000000003,0.52
7,925,72,276,19,9.53,295,37.17,0.47000000000000003,0.52
7,925,72,276,19,9.53,295,37.17,0.47000000000000003,0.52
7,63,72,340,9,4.64,349,20.46,0.51,0.54
7,63,72,340,9,4.64,349,20.46,0.51,0.54
7,63,72,340,9,4.64,349,20.46,0.51,0.54
5,202,63,366,14,7.2,380,29.03,0.49,0.53
5,202,63,366,14,7.2,380,29.03,0.49,0.53
5,202,63,366,14,7.2,380,29.03,0.49,0.53
15,912,41,375,10,4.78,385,21.51,0.51,0.54
15,912,41,375,10,4.78,385,21.51,0.51,0.54
15,912,41,375,10,4.78,385,21.51,0.51,0.54
3,160,27,401,15,7.51,416,30.36,0.49,0.52
3,160,27,401,15,7.51,416,30.36,0.49,0.52
3,160,27,401,15,7.51,416,30.36,0.49,0.52
5,32,63,398,10,4.89,408,21.7,0.51,0.54
5,32,63,398,10,4.89,408,21.7,0.51,0.54
5,32,63,398,10,4.89,408,21.7,0.51,0.54
15,188,41,415,14,7.19,429,29.0,0.49,0.53
15,188,41,415,14,7.19,429,29.0,0.49,0.53
15,188,41,415,14,7.19,429,29.0,0.49,0.53
3,191,27,420,11,5.31,431,23.25,0.5,0.53
3,191,27,420,11,5.31,431,23.25,0.5,0.53
3,191,27,420,11,5.31,431,23.25,0.5,0.53
11,835,14,430,8,3.85,438,18.25,0.52,0.54
11,835,14,430,8,3.85,438,18.25,0.52,0.54
11,835,14,430,8,3.85,438,18.25,0.52,0.54
12,984,70,431,15,7.64,446,30.61,0.49,0.52
12,984,70,431,15,7.64,446,30.61,0.49,0.52
12,984,70,431,15,7.64,446,30.61,0.49,0.52
3,191,27,462,18,8.76,480,34.99,0.48,0.52
3,191,27,462,18,8.76,480,34.99,0.48,0.52
3,191,27,462,18,8.76,480,34.99,0.48,0.52
11,46,14,469,8,4.24,477,18.95,0.52,0.54
11,46,14,469,8,4.24,477,18.95,0.52,0.54
11,46,14,469,8,4.24,477,18.95,0.52,0.54
3,168,27,507,5,2.54,512,13.53,0.53,0.55
3,168,27,507,5,2.54,512,13.53,0.53,0.55
3,168,27,507,5,2.54,512,13.53,0.53,0.55
4,8,99,501,9,4.41,510,20.04,0.51,0.54
4,8,99,501,9,4.41,510,20.04,0.51,0.54
4,8,99,501,9,4.41,510,20.04,0.51,0.54
7,1,72,508,16,7.91,524,31.87,0.48,0.52
7,1,72,508,16,7.91,524,31.87,0.48,0.52
7,1,72,508,16,7.91,524,31.87,0.48,0.52
8,166,83,489,8,4.19,497,18.87,0.52,0.54
8,166,83,489,8,4.19,497,18.87,0.52,0.54
8,166,83,489,8,4.19,497,18.87,0.52,0.54
11,5,14,506,6,2.77,512,14.72,0.53,0.54
11,5,14,506,6,2.77,512,14.72,0.53,0.54
11,5,14,506,6,2.77,512,14.72,0.53,0.54
14,136,1,502,7,3.4,509,16.64,0.52,0.54
14,136,1,502,7,3.4,509,16.64,0.52,0.54
14,136,1,502,7,3.4,509,16.64,0.52,0.54
1,224,53,538,9,4.54,547,20.29,0.51,0.54
1,224,53,538,9,4.54,547,20.29,0.51,0.54
1,224,53,538,9,4.54,547,20.29,0.51,0.54
14,62,1,537,10,4.99,547,21.88,0.51,0.54
14,62,1,537,10,4.99,547,21.88,0.51,0.54
14,62,1,537,10,4.99,547,21.88,0.51,0.54
7,115,72,558,9,4.69,567,20.56,0.51,0.54
7,115,72,558,9,4.69,567,20.56,0.51,0.54
7,115,72,558,9,4.69,567,20.56,0.51,0.54
8,20,83,540,8,3.94,548,18.42,0.52,0.54
8,20,83,540,8,3.94,548,18.42,0.52,0.54
8,20,83,540,8,3.94,548,18.42,0.52,0.54
10,125,77,547,5,2.59,552,13.61,0.53,0.55
10,125,77,547,5,2.59,552,13.61,0.53,0.55
10,125,77,547,5,2.59,552,13.61,0.53,0.55
8,54,83,580,13,6.62,593,27.19,0.49,0.53
8,54,83,580,13,6.62,593,27.19,0.49,0.53
8,54,83,580,13,6.62,593,27.19,0.49,0.53
11,217,14,591,7,3.56,598,16.93,0.52,0.54
11,217,14,591,7,3.56,598,16.93,0.52,0.54
11,217,14,591,7,3.56,598,16.93,0.52,0.54
3,178,27,606,16,7.79,622,31.65,0.48,0.52
3,178,27,606,16,7.79,622,31.65,0.48,0.52
3,178,27,606,16,7.79,622,31.65,0.48,0.52
7,827,72,638,3,1.47,641,10.01,0.54,0.55
7,827,72,638,3,1.47,641,10.01,0.54,0.55
7,827,72,638,3,1.47,641,10.01,0.54,0.55
14,821,1,635,7,3.25,642,16.38,0.52,0.54
14,821,1,635,7,3.25,642,16.38,0.52,0.54
14,821,1,635,7,3.25,642,16.38,0.52,0.54
5,888,24,754,5,2.64,759,13.7,0.53,0.55
5,888,24,754,5,2.64,759,13.7,0.53,0.55
5,888,24,754,5,2.64,759,13.7,0.53,0.55
11,968,14,783,12,6.01,795,25.3,0.5,0.53
11,968,14,783,12,6.01,795,25.3,0.5,0.53
11,968,14,783,12,6.01,795,25.3,0.5,0.53
2,355,6,1078,4,1.76,1082,11.33,0.53,0.55
2,355,6,1078,4,1.76,1082,11.33,0.53,0.55
2,355,6,1078,4,1.76,1082,11.33,0.53,0.55
2,338,6,1109,14,6.86,1123,28.41,0.49,0.53
2,338,6,1109,14,6.86,1123,28.41,0.49,0.53
2,338,6,1109,14,6.86,1123,28.41,0.49,0.53
2,919,6,1122,7,3.43,1129,16.7,0.52,0.54
2,919,6,1122,7,3.43,1129,16.7,0.52,0.54
2,919,6,1122,7,3.43,1129,16.7,0.52,0.54
0,364,51,1148,9,4.72,1157,20.61,0.51,0.54
0,364,51,1148,9,4.72,1157,20.61,0.51,0.54
0,364,51,1148,9,4.72,1157,20.61,0.51,0.54
0,393,51,1181,11,5.6,1192,23.78,0.5,0.53
0,393,51,1181,11,5.6,1192,23.78,0.5,0.53
0,393,51,1181,11,5.6,1192,23.78,0.5,0.53
4,997,43,1170,9,4.58,1179,20.36,0.51,0.54
4,997,43,1170,9,4.58,1179,20.36,0.51,0.54
4,997,43,1170,9,4.58,1179,20.36,0.51,0.54
4,517,43,1319,16,8.01,1335,32.06,0.48,0.52
4,517,43,1319,16,8.01,1335,32.06,0.48,0.52
4,517,43,1319,16,8.01,1335,32.06,0.48,0.52
4,727,43,1320,11,5.65,1331,23.86,0.5,0.53
4,727,43,1320,11,5.65,1331,23.86,0.5,0.53
4,727,43,1320,11,5.65,1331,23.86,0.5,0.53
4,679,43,1369,13,6.54,1382,27.05,0.49,0.53
4,679,43,1369,13,6.54,1382,27.05,0.49,0.53
4,679,43,1369,13,6.54,1382,27.05,0.49,0.53
4,785,43,1410,9,4.31,1419,19.86,0.51,0.54
4,785,43,1410,9,4.31,1419,19.86,0.51,0.54
4,785,43,1410,9,4.31,1419,19.86,0.51,0.54
8,605,69,1425,19,9.26,1444,36.67,0.47000000000000003,0.52
8,605,69,1425,19,9.26,1444,36.67,0.47000000000000003,0.52
8,605,69,1425,19,9.26,1444,36.67,0.47000000000000003,0.52
2,969,43,30,16,8.19,46,32.39,0.48,0.52
2,969,43,30,16,8.19,46,32.39,0.48,0.52
2,969,43,30,16,8.19,46,32.39,0.48,0.52
2,969,43,30,16,8.19,46,32.39,0.48,0.52
2,957,43,84,4,2.0,88,11.77,0.53,0.55
2,957,43,84,4,2.0,88,11.77,0.53,0.55
2,957,43,84,4,2.0,88,11.77,0.53,0.55
2,957,43,84,4,2.0,88,11.77,0.53,0.55
1,790,18,370,10,5.22,380,22.31,0.51,0.53
1,790,18,370,10,5.22,380,22.31,0.51,0.53
1,790,18,370,10,5.22,380,22.31,0.51,0.53
1,790,18,370,10,5.22,380,22.31,0.51,0.53
10,913,97,388,1,0.39,389,6.5,0.55,0.55
10,913,97,388,1,0.39,389,6.5,0.55,0.55
10,913,97,388,1,0.39,389,6.5,0.55,0.55
10,913,97,388,1,0.39,389,6.5,0.55,0.55
1,235,18,433,13,6.69,446,27.31,0.49,0.53
1,235,18,433,13,6.69,446,27.31,0.49,0.53
1,235,18,433,13,6.69,446,27.31,0.49,0.53
1,235,18,433,13,6.69,446,27.31,0.49,0.53
5,73,42,424,8,4.24,432,18.95,0.52,0.54
5,73,42,424,8,4.24,432,18.95,0.52,0.54
5,73,42,424,8,4.24,432,18.95,0.52,0.54
5,73,42,424,8,4.24,432,18.95,0.52,0.54
1,91,18,454,12,6.11,466,25.48,0.5,0.53
